INFO : 2021-07-31 10:52:38,030 : autoreload : 16760 : 4036 : Watching for file changes with StatReloader
DEBUG : 2021-07-31 10:52:38,031 : autoreload : 16760 : 4036 : Waiting for apps ready_event.
DEBUG : 2021-07-31 10:52:38,311 : autoreload : 16760 : 4036 : Apps ready_event triggered. Sending autoreload_started signal.
DEBUG : 2021-07-31 10:52:38,369 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\templates with glob **/*.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\templates with glob **/*.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\templates with glob **/*.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\import_export\templates with glob **/*.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\facebook\templates with glob **/*.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\templates with glob **/*.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\crispy_forms\templates with glob **/*.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\import_export\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,370 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,374 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,374 : autoreload : 16760 : 4036 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\facebook\locale with glob **/*.mo.
DEBUG : 2021-07-31 10:52:38,548 : utils : 16760 : 4492 : (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG : 2021-07-31 10:52:38,552 : utils : 16760 : 4492 : (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG : 2021-07-31 10:52:38,766 : autoreload : 16760 : 4036 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\urllib3\util\response.py first seen with mtime 1626676977.4713461
DEBUG : 2021-07-31 10:52:38,781 : autoreload : 16760 : 4036 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\diff_match_patch\diff_match_patch.py first seen with mtime 1626677112.7657058
DEBUG : 2021-07-31 10:52:38,782 : autoreload : 16760 : 4036 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\migrations\graph.py first seen with mtime 1626675428.8417044
DEBUG : 2021-07-31 10:52:38,782 : autoreload : 16760 : 4036 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\_compression.py first seen with mtime 1624876618.0
DEBUG : 2021-07-31 10:52:38,783 : autoreload : 16760 : 4036 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1626675425.6989422
DEBUG : 2021-07-31 10:52:38,783 : autoreload : 16760 : 4036 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\conf\__init__.py first seen with mtime 1626675423.580042
DEBUG : 2021-07-31 10:52:38,783 : autoreload : 16760 : 4036 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1626675428.7613025
